X,location,group,group_value,Life.Stage_Ls1,Life.Stage_Ls2,Life.Stage_Ls3,Life.Stage_Ls4,Gender_G1,Gender_G2,Ethnicity_E1,Ethnicity_E2,Ethnicity_E3,Ethnicity_E4,Ethnicity_E5,Social.Relationship.Typology_Al,Social.Relationship.Typology_Int,Social.Relationship.Typology_Soc,Social.Relationship.Typology_Per,Social.Interaction.Typology_E,Social.Interaction.Typology_P,Social.Interaction.Typology_F
541,2km,Month,11,52,14,368,109,304,239,61,27,398,55,2,112,98,177,156,427,112,4
542,2km,Month,12,39,6,407,111,308,255,50,14,465,29,5,192,94,168,109,365,187,11
543,2km,Month,3,34,13,326,104,239,238,28,10,410,27,2,135,101,129,112,341,135,1
544,2km,Month,4,32,4,336,107,263,216,34,21,393,23,8,145,76,161,97,330,143,6
545,2km,Month,5,27,10,349,124,297,213,57,29,393,28,3,142,122,151,95,359,142,9
546,2km,Month,6,34,13,312,83,253,189,51,18,349,22,2,75,107,130,130,367,75,0
547,2km,Month,7,19,1,281,113,216,198,36,24,332,22,0,139,92,118,65,269,139,6
548,2km,Weekday,1,56,18,593,171,497,341,58,25,700,38,17,287,165,227,159,536,279,23
549,2km,Weekday,2,46,14,591,210,458,403,104,43,653,50,11,274,190,260,137,571,272,18
550,2km,Weekday,0,59,24,697,197,522,455,86,50,784,49,8,347,174,298,158,611,344,22
551,2km,Weekday,4,33,5,201,48,161,126,30,23,214,18,2,80,48,85,74,205,80,2
552,2km,Weekday,5,19,9,167,61,143,113,31,4,184,37,0,32,50,92,82,222,32,2
553,2km,Weekday,6,60,22,541,131,398,356,78,27,602,43,4,136,175,226,217,617,137,0
554,2km,Weekday,3,28,8,304,128,251,217,25,17,402,19,5,154,68,156,90,310,153,5
555,2km,Season,Summer,75,28,957,263,714,609,147,72,1018,66,20,381,274,409,259,913,378,32
556,2km,Season,Autumn,94,39,719,237,609,480,96,43,860,81,9,315,203,326,245,764,312,13
557,2km,Season,Winter,39,6,407,111,308,255,50,14,465,29,5,192,94,168,109,365,187,11
558,2km,Season,Spring,93,27,1011,335,799,667,119,60,1196,78,13,422,299,441,304,1030,420,16
